indicator,country,code,Year,Value
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1998,16.577
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1997,15.785
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1996,15.028
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1995,14.314
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1994,13.631
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1993,12.969
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1992,12.334
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1991,11.729
Prevalence of overweight (% of adults),Africa Western and Central,AFW,1990,11.151
Prevalence of overweight (% of adults),Arab World,ARB,2022,61.936
Prevalence of overweight (% of adults),Arab World,ARB,2021,61.47
Prevalence of overweight (% of adults),Arab World,ARB,2020,61.117
Prevalence of overweight (% of adults),Arab World,ARB,2019,60.694
Prevalence of overweight (% of adults),Arab World,ARB,2018,60.309
Prevalence of overweight (% of adults),Arab World,ARB,2017,59.962
Prevalence of overweight (% of adults),Arab World,ARB,2016,59.584
Prevalence of overweight (% of adults),Arab World,ARB,2015,59.118
Prevalence of overweight (% of adults),Arab World,ARB,2014,58.644
Prevalence of overweight (% of adults),Arab World,ARB,2013,58.181
Prevalence of overweight (% of adults),Arab World,ARB,2012,57.672
Prevalence of overweight (% of adults),Arab World,ARB,2011,57.139
Prevalence of overweight (% of adults),Arab World,ARB,2010,56.585
Prevalence of overweight (% of adults),Arab World,ARB,2009,56.084
Prevalence of overweight (% of adults),Arab World,ARB,2008,55.499
Prevalence of overweight (% of adults),Arab World,ARB,2007,54.867
Prevalence of overweight (% of adults),Arab World,ARB,2006,54.185
Prevalence of overweight (% of adults),Arab World,ARB,2005,53.5
Prevalence of overweight (% of adults),Arab World,ARB,2004,52.806
Prevalence of overweight (% of adults),Arab World,ARB,2003,52.069
Prevalence of overweight (% of adults),Arab World,ARB,2002,51.304
Prevalence of overweight (% of adults),Arab World,ARB,2001,50.523
Prevalence of overweight (% of adults),Arab World,ARB,2000,49.728
Prevalence of overweight (% of adults),Arab World,ARB,1999,48.926
Prevalence of overweight (% of adults),Arab World,ARB,1998,48.116
Prevalence of overweight (% of adults),Arab World,ARB,1997,47.314
Prevalence of overweight (% of adults),Arab World,ARB,1996,46.503
Prevalence of overweight (% of adults),Arab World,ARB,1995,45.697
Prevalence of overweight (% of adults),Arab World,ARB,1994,44.91
Prevalence of overweight (% of adults),Arab World,ARB,1993,44.131
Prevalence of overweight (% of adults),Arab World,ARB,1992,43.333
Prevalence of overweight (% of adults),Arab World,ARB,1991,42.466
Prevalence of overweight (% of adults),Arab World,ARB,1990,41.67
Prevalence of overweight (% of adults),Caribbean small states,CSS,2022,61.773
Prevalence of overweight (% of adults),Caribbean small states,CSS,2021,61.311
Prevalence of overweight (% of adults),Caribbean small states,CSS,2020,60.869
Prevalence of overweight (% of adults),Caribbean small states,CSS,2019,60.399
Prevalence of overweight (% of adults),Caribbean small states,CSS,2018,59.969
Prevalence of overweight (% of adults),Caribbean small states,CSS,2017,59.558
Prevalence of overweight (% of adults),Caribbean small states,CSS,2016,59.078
Prevalence of overweight (% of adults),Caribbean small states,CSS,2015,58.594
Prevalence of overweight (% of adults),Caribbean small states,CSS,2014,58.105
Prevalence of overweight (% of adults),Caribbean small states,CSS,2013,57.614
Prevalence of overweight (% of adults),Caribbean small states,CSS,2012,57.113
Prevalence of overweight (% of adults),Caribbean small states,CSS,2011,56.585
Prevalence of overweight (% of adults),Caribbean small states,CSS,2010,56.022
Prevalence of overweight (% of adults),Caribbean small states,CSS,2009,55.433
Prevalence of overweight (% of adults),Caribbean small states,CSS,2008,54.812
Prevalence of overweight (% of adults),Caribbean small states,CSS,2007,54.163
Prevalence of overweight (% of adults),Caribbean small states,CSS,2006,53.477
Prevalence of overweight (% of adults),Caribbean small states,CSS,2005,52.761
Prevalence of overweight (% of adults),Caribbean small states,CSS,2004,52.023
Prevalence of overweight (% of adults),Caribbean small states,CSS,2003,51.256
Prevalence of overweight (% of adults),Caribbean small states,CSS,2002,50.455
Prevalence of overweight (% of adults),Caribbean small states,CSS,2001,49.631
Prevalence of overweight (% of adults),Caribbean small states,CSS,2000,48.772
Prevalence of overweight (% of adults),Caribbean small states,CSS,1999,47.892
Prevalence of overweight (% of adults),Caribbean small states,CSS,1998,46.997
Prevalence of overweight (% of adults),Caribbean small states,CSS,1997,46.102
Prevalence of overweight (% of adults),Caribbean small states,CSS,1996,45.207
Prevalence of overweight (% of adults),Caribbean small states,CSS,1995,44.327
Prevalence of overweight (% of adults),Caribbean small states,CSS,1994,43.457
Prevalence of overweight (% of adults),Caribbean small states,CSS,1993,42.593
Prevalence of overweight (% of adults),Caribbean small states,CSS,1992,41.747
Prevalence of overweight (% of adults),Caribbean small states,CSS,1991,40.91
Prevalence of overweight (% of adults),Caribbean small states,CSS,1990,40.084
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2022,61.599
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2021,61.05
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2020,60.491
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2019,59.931
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2018,59.356
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2017,58.779
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2016,58.192
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2015,57.596
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2014,57.007
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2013,56.42
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2012,55.839
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2011,55.258
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2010,54.671
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2009,54.073
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2008,53.457
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2007,52.831
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2006,52.199
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2005,51.572
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2004,50.95
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2003,50.342
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2002,49.752
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2001,49.18
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,2000,48.649
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1999,48.19
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1998,47.783
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1997,47.429
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1996,47.123
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1995,46.864
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1994,46.636
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1993,46.439
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1992,46.261
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1991,46.078
Prevalence of overweight (% of adults),Central Europe and the Baltics,CEB,1990,45.91
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2022,40.758
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2021,39.852
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2020,38.978
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2019,38.097
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2018,37.234
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2017,36.378
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2016,35.531
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2015,34.673
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2014,33.827
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2013,33.016
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2012,32.218
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2011,31.43
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2010,30.649
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2009,29.883
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2008,29.109
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2007,28.338
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2006,27.574
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2005,26.813
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2004,26.074
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2003,25.34
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2002,24.618
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2001,23.919
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,2000,23.226
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1999,22.553
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1998,21.897
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1997,21.259
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1996,20.648
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1995,20.058
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1994,19.473
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1993,18.904
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1992,18.347
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1991,17.802
Prevalence of overweight (% of adults),Early-demographic dividend,EAR,1990,17.243
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2022,36.495
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2021,35.555
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2020,34.629
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2019,33.71
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2018,32.809
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2017,31.909
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2016,31.02
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2015,30.124
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2014,29.244
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2013,28.394
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2012,27.577
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2011,26.806
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2010,26.068
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2009,25.338
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2008,24.617
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2007,23.924
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2006,23.257
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2005,22.607
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2004,21.995
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2003,21.403
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2002,20.831
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2001,20.267
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,2000,19.712
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1999,19.156
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1998,18.599
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1997,18.041
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1996,17.484
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1995,16.924
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1994,16.358
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1993,15.795
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1992,15.226
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1991,14.665
Prevalence of overweight (% of adults),East Asia & Pacific,EAS,1990,14.123
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2022,36.885
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2021,35.89
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2020,34.906
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2019,33.932
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2018,32.975
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2017,32.02
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2016,31.074
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2015,30.12
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2014,29.18
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2013,28.271
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2012,27.395
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2011,26.565
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2010,25.767
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2009,24.977
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2008,24.199
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2007,23.449
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2006,22.728
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2005,22.023
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2004,21.359
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2003,20.718
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2002,20.101
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2001,19.494
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,2000,18.899
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1999,18.302
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1998,17.702
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1997,17.102
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1996,16.505
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1995,15.906
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1994,15.301
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1993,14.698
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1992,14.09
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1991,13.492
Prevalence of overweight (% of adults),East Asia & Pacific (excluding high income),EAP,1990,12.918
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2022,36.884
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2021,35.89
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2020,34.906
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2019,33.933
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2018,32.976
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2017,32.021
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2016,31.077
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2015,30.123
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2014,29.183
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2013,28.275
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2012,27.399
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2011,26.569
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2010,25.772
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2009,24.983
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2008,24.205
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2007,23.456
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2006,22.736
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2005,22.031
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2004,21.369
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2003,20.729
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2002,20.113
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2001,19.507
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,2000,18.913
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1999,18.317
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1998,17.717
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1997,17.118
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1996,16.521
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1995,15.922
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1994,15.316
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1993,14.712
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1992,14.102
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1991,13.503
Prevalence of overweight (% of adults),East Asia & Pacific (IDA & IBRD),TEA,1990,12.929
Prevalence of overweight (% of adults),Euro area,EMU,2022,48.826
Prevalence of overweight (% of adults),Euro area,EMU,2021,48.978
Prevalence of overweight (% of adults),Euro area,EMU,2020,49.148
Prevalence of overweight (% of adults),Euro area,EMU,2019,49.32
Prevalence of overweight (% of adults),Euro area,EMU,2018,49.493
Prevalence of overweight (% of adults),Euro area,EMU,2017,49.661
Prevalence of overweight (% of adults),Euro area,EMU,2016,49.826
Prevalence of overweight (% of adults),Euro area,EMU,2015,49.985
Prevalence of overweight (% of adults),Euro area,EMU,2014,50.148
Prevalence of overweight (% of adults),Euro area,EMU,2013,50.318
Prevalence of overweight (% of adults),Euro area,EMU,2012,50.481
Prevalence of overweight (% of adults),Euro area,EMU,2011,50.627
Prevalence of overweight (% of adults),Euro area,EMU,2010,50.757
Prevalence of overweight (% of adults),Euro area,EMU,2009,50.829
Prevalence of overweight (% of adults),Euro area,EMU,2008,50.84
Prevalence of overweight (% of adults),Euro area,EMU,2007,50.787
Prevalence of overweight (% of adults),Euro area,EMU,2006,50.675
Prevalence of overweight (% of adults),Euro area,EMU,2005,50.515
Prevalence of overweight (% of adults),Euro area,EMU,2004,50.314
Prevalence of overweight (% of adults),Euro area,EMU,2003,50.071
Prevalence of overweight (% of adults),Euro area,EMU,2002,49.793
Prevalence of overweight (% of adults),Euro area,EMU,2001,49.49
Prevalence of overweight (% of adults),Euro area,EMU,2000,49.17
Prevalence of overweight (% of adults),Euro area,EMU,1999,48.837
Prevalence of overweight (% of adults),Euro area,EMU,1998,48.487
Prevalence of overweight (% of adults),Euro area,EMU,1997,48.133
Prevalence of overweight (% of adults),Euro area,EMU,1996,47.775
Prevalence of overweight (% of adults),Euro area,EMU,1995,47.425
Prevalence of overweight (% of adults),Euro area,EMU,1994,47.087
Prevalence of overweight (% of adults),Euro area,EMU,1993,46.762
Prevalence of overweight (% of adults),Euro area,EMU,1992,46.457
Prevalence of overweight (% of adults),Euro area,EMU,1991,46.166
Prevalence of overweight (% of adults),Euro area,EMU,1990,45.886
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2022,55.571
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2021,55.39
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2020,55.215
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2019,55.04
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2018,54.853
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2017,54.664
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2016,54.467
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2015,54.261
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2014,54.06
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2013,53.861
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2012,53.661
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2011,53.45
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2010,53.222
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2009,52.967
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2008,52.677
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2007,52.353
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2006,52.006
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2005,51.625
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2004,51.219
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2003,50.791
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2002,50.348
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2001,49.898
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,2000,49.446
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1999,49.003
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1998,48.567
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1997,48.143
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1996,47.736
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1995,47.348
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1994,46.98
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1993,46.633
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1992,46.31
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1991,46.003
Prevalence of overweight (% of adults),Europe & Central Asia,ECS,1990,45.715
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2022,61.253
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2021,60.708
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2020,60.235
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2019,59.768
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2018,59.291
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2017,58.803
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2016,58.308
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2015,57.794
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2014,57.284
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2013,56.78
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2012,56.278
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2011,55.779
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2010,55.271
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2009,54.758
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2008,54.244
Prevalence of overweight (% of adults),Europe & Central Asia (excluding high income),ECA,2007,53.722
