country,code,indicator
Angola,AGO,Life Expectancy
Albania,ALB,Life Expectancy
Andorra,AND,Life Expectancy
Arab World,ARB,Life Expectancy
United Arab Emirates,ARE,Life Expectancy
Argentina,ARG,Life Expectancy
Armenia,ARM,Life Expectancy
American Samoa,ASM,Life Expectancy
Antigua and Barbuda,ATG,Life Expectancy
Australia,AUS,Life Expectancy
Austria,AUT,Life Expectancy
Azerbaijan,AZE,Life Expectancy
Burundi,BDI,Life Expectancy
Belgium,BEL,Life Expectancy
Benin,BEN,Life Expectancy
Burkina Faso,BFA,Life Expectancy
Bangladesh,BGD,Life Expectancy
Bulgaria,BGR,Life Expectancy
Bahrain,BHR,Life Expectancy
"Bahamas, The",BHS,Life Expectancy
Bosnia and Herzegovina,BIH,Life Expectancy
Belarus,BLR,Life Expectancy
Belize,BLZ,Life Expectancy
Bermuda,BMU,Life Expectancy
Bolivia,BOL,Life Expectancy
Brazil,BRA,Life Expectancy
Barbados,BRB,Life Expectancy
Brunei Darussalam,BRN,Life Expectancy
Bhutan,BTN,Life Expectancy
Botswana,BWA,Life Expectancy
Central African Republic,CAF,Life Expectancy
Canada,CAN,Life Expectancy
Central Europe and the Baltics,CEB,Life Expectancy
Switzerland,CHE,Life Expectancy
Channel Islands,CHI,Life Expectancy
Chile,CHL,Life Expectancy
China,CHN,Life Expectancy
Cote d'Ivoire,CIV,Life Expectancy
Cameroon,CMR,Life Expectancy
"Congo, Dem. Rep.",COD,Life Expectancy
"Congo, Rep.",COG,Life Expectancy
Colombia,COL,Life Expectancy
Comoros,COM,Life Expectancy
Cabo Verde,CPV,Life Expectancy
Costa Rica,CRI,Life Expectancy
Caribbean small states,CSS,Life Expectancy
Cuba,CUB,Life Expectancy
Curacao,CUW,Life Expectancy
Cayman Islands,CYM,Life Expectancy
Cyprus,CYP,Life Expectancy
Czechia,CZE,Life Expectancy
Germany,DEU,Life Expectancy
Djibouti,DJI,Life Expectancy
Dominica,DMA,Life Expectancy
Denmark,DNK,Life Expectancy
Dominican Republic,DOM,Life Expectancy
Algeria,DZA,Life Expectancy
East Asia & Pacific (excluding high income),EAP,Life Expectancy
Early-demographic dividend,EAR,Life Expectancy
East Asia & Pacific,EAS,Life Expectancy
Europe & Central Asia (excluding high income),ECA,Life Expectancy
Europe & Central Asia,ECS,Life Expectancy
Ecuador,ECU,Life Expectancy
"Egypt, Arab Rep.",EGY,Life Expectancy
Euro area,EMU,Life Expectancy
Eritrea,ERI,Life Expectancy
Spain,ESP,Life Expectancy
Estonia,EST,Life Expectancy
Ethiopia,ETH,Life Expectancy
European Union,EUU,Life Expectancy
Fragile and conflict affected situations,FCS,Life Expectancy
Finland,FIN,Life Expectancy
Fiji,FJI,Life Expectancy
France,FRA,Life Expectancy
Faroe Islands,FRO,Life Expectancy
"Micronesia, Fed. Sts.",FSM,Life Expectancy
Gabon,GAB,Life Expectancy
United Kingdom,GBR,Life Expectancy
Georgia,GEO,Life Expectancy
Ghana,GHA,Life Expectancy
Gibraltar,GIB,Life Expectancy
Guinea,GIN,Life Expectancy
"Gambia, The",GMB,Life Expectancy
Guinea-Bissau,GNB,Life Expectancy
Equatorial Guinea,GNQ,Life Expectancy
Greece,GRC,Life Expectancy
Grenada,GRD,Life Expectancy
Greenland,GRL,Life Expectancy
Guatemala,GTM,Life Expectancy
Guam,GUM,Life Expectancy
Guyana,GUY,Life Expectancy
High income,HIC,Life Expectancy
"Hong Kong SAR, China",HKG,Life Expectancy
Honduras,HND,Life Expectancy
Heavily indebted poor countries (HIPC),HPC,Life Expectancy
Croatia,HRV,Life Expectancy
Haiti,HTI,Life Expectancy
Hungary,HUN,Life Expectancy
IBRD only,IBD,Life Expectancy
IDA & IBRD total,IBT,Life Expectancy
IDA total,IDA,Life Expectancy
IDA blend,IDB,Life Expectancy
Indonesia,IDN,Life Expectancy
IDA only,IDX,Life Expectancy
Isle of Man,IMN,Life Expectancy
India,IND,Life Expectancy
Not classified,INX,Life Expectancy
Ireland,IRL,Life Expectancy
"Iran, Islamic Rep.",IRN,Life Expectancy
Iraq,IRQ,Life Expectancy
Iceland,ISL,Life Expectancy
Israel,ISR,Life Expectancy
Italy,ITA,Life Expectancy
Jamaica,JAM,Life Expectancy
Jordan,JOR,Life Expectancy
Japan,JPN,Life Expectancy
Kazakhstan,KAZ,Life Expectancy
Kenya,KEN,Life Expectancy
Kyrgyz Republic,KGZ,Life Expectancy
Cambodia,KHM,Life Expectancy
Kiribati,KIR,Life Expectancy
St. Kitts and Nevis,KNA,Life Expectancy
"Korea, Rep.",KOR,Life Expectancy
Kuwait,KWT,Life Expectancy
Latin America & Caribbean (excluding high income),LAC,Life Expectancy
Lao PDR,LAO,Life Expectancy
Lebanon,LBN,Life Expectancy
Liberia,LBR,Life Expectancy
Libya,LBY,Life Expectancy
St. Lucia,LCA,Life Expectancy
Latin America & Caribbean,LCN,Life Expectancy
Least developed countries: UN classification,LDC,Life Expectancy
Low income,LIC,Life Expectancy
Liechtenstein,LIE,Life Expectancy
Sri Lanka,LKA,Life Expectancy
Lower middle income,LMC,Life Expectancy
Low & middle income,LMY,Life Expectancy
Lesotho,LSO,Life Expectancy
Late-demographic dividend,LTE,Life Expectancy
Lithuania,LTU,Life Expectancy
Luxembourg,LUX,Life Expectancy
Latvia,LVA,Life Expectancy
"Macao SAR, China",MAC,Life Expectancy
St. Martin (French part),MAF,Life Expectancy
Morocco,MAR,Life Expectancy
Monaco,MCO,Life Expectancy
Moldova,MDA,Life Expectancy
Madagascar,MDG,Life Expectancy
Maldives,MDV,Life Expectancy
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Life Expectancy
Mexico,MEX,Life Expectancy
Marshall Islands,MHL,Life Expectancy
Middle income,MIC,Life Expectancy
North Macedonia,MKD,Life Expectancy
Mali,MLI,Life Expectancy
Malta,MLT,Life Expectancy
Myanmar,MMR,Life Expectancy
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Life Expectancy
Montenegro,MNE,Life Expectancy
Mongolia,MNG,Life Expectancy
Northern Mariana Islands,MNP,Life Expectancy
Mozambique,MOZ,Life Expectancy
Mauritania,MRT,Life Expectancy
Mauritius,MUS,Life Expectancy
Malawi,MWI,Life Expectancy
Malaysia,MYS,Life Expectancy
North America,NAC,Life Expectancy
Namibia,NAM,Life Expectancy
New Caledonia,NCL,Life Expectancy
Niger,NER,Life Expectancy
Nigeria,NGA,Life Expectancy
Nicaragua,NIC,Life Expectancy
Netherlands,NLD,Life Expectancy
Norway,NOR,Life Expectancy
Nepal,NPL,Life Expectancy
Nauru,NRU,Life Expectancy
New Zealand,NZL,Life Expectancy
OECD members,OED,Life Expectancy
Oman,OMN,Life Expectancy
Other small states,OSS,Life Expectancy
Pakistan,PAK,Life Expectancy
Panama,PAN,Life Expectancy
Peru,PER,Life Expectancy
Philippines,PHL,Life Expectancy
Palau,PLW,Life Expectancy
Papua New Guinea,PNG,Life Expectancy
Poland,POL,Life Expectancy
Pre-demographic dividend,PRE,Life Expectancy
Puerto Rico (US),PRI,Life Expectancy
"Korea, Dem. People's Rep.",PRK,Life Expectancy
Portugal,PRT,Life Expectancy
Paraguay,PRY,Life Expectancy
West Bank and Gaza,PSE,Life Expectancy
Pacific island small states,PSS,Life Expectancy
Post-demographic dividend,PST,Life Expectancy
French Polynesia,PYF,Life Expectancy
Qatar,QAT,Life Expectancy
Romania,ROU,Life Expectancy
Russian Federation,RUS,Life Expectancy
Rwanda,RWA,Life Expectancy
South Asia,SAS,Life Expectancy
Saudi Arabia,SAU,Life Expectancy
Sudan,SDN,Life Expectancy
Senegal,SEN,Life Expectancy
Singapore,SGP,Life Expectancy
Solomon Islands,SLB,Life Expectancy
Sierra Leone,SLE,Life Expectancy
El Salvador,SLV,Life Expectancy
San Marino,SMR,Life Expectancy
"Somalia, Fed. Rep.",SOM,Life Expectancy
Serbia,SRB,Life Expectancy
Sub-Saharan Africa (excluding high income),SSA,Life Expectancy
South Sudan,SSD,Life Expectancy
Sub-Saharan Africa,SSF,Life Expectancy
Small states,SST,Life Expectancy
Sao Tome and Principe,STP,Life Expectancy
Suriname,SUR,Life Expectancy
Slovak Republic,SVK,Life Expectancy
Slovenia,SVN,Life Expectancy
Sweden,SWE,Life Expectancy
Eswatini,SWZ,Life Expectancy
Sint Maarten (Dutch part),SXM,Life Expectancy
Seychelles,SYC,Life Expectancy
Syrian Arab Republic,SYR,Life Expectancy
Turks and Caicos Islands,TCA,Life Expectancy
Chad,TCD,Life Expectancy
East Asia & Pacific (IDA & IBRD countries),TEA,Life Expectancy
Europe & Central Asia (IDA & IBRD countries),TEC,Life Expectancy
Togo,TGO,Life Expectancy
Thailand,THA,Life Expectancy
Tajikistan,TJK,Life Expectancy
Turkmenistan,TKM,Life Expectancy
Latin America & the Caribbean (IDA & IBRD countries),TLA,Life Expectancy
Timor-Leste,TLS,Life Expectancy
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Life Expectancy
Tonga,TON,Life Expectancy
South Asia (IDA & IBRD),TSA,Life Expectancy
Sub-Saharan Africa (IDA & IBRD countries),TSS,Life Expectancy
Trinidad and Tobago,TTO,Life Expectancy
Tunisia,TUN,Life Expectancy
Turkiye,TUR,Life Expectancy
Tuvalu,TUV,Life Expectancy
Tanzania,TZA,Life Expectancy
Uganda,UGA,Life Expectancy
Ukraine,UKR,Life Expectancy
Upper middle income,UMC,Life Expectancy
Uruguay,URY,Life Expectancy
United States,USA,Life Expectancy
Uzbekistan,UZB,Life Expectancy
St. Vincent and the Grenadines,VCT,Life Expectancy
"Venezuela, RB",VEN,Life Expectancy
British Virgin Islands,VGB,Life Expectancy
Virgin Islands (U.S.),VIR,Life Expectancy
Viet Nam,VNM,Life Expectancy
Vanuatu,VUT,Life Expectancy
World,WLD,Life Expectancy
Samoa,WSM,Life Expectancy
Kosovo,XKX,Life Expectancy
"Yemen, Rep.",YEM,Life Expectancy
South Africa,ZAF,Life Expectancy
Zambia,ZMB,Life Expectancy
Zimbabwe,ZWE,Life Expectancy
Canada,CAN,Schooling
Afghanistan,AFG,Schooling
Albania,ALB,Schooling
Algeria,DZA,Schooling
American Samoa,ASM,Schooling
Andorra,AND,Schooling
Angola,AGO,Schooling
Antigua and Barbuda,ATG,Schooling
Arab World,ARB,Schooling
Argentina,ARG,Schooling
Armenia,ARM,Schooling
Aruba,ABW,Schooling
Australia,AUS,Schooling
Austria,AUT,Schooling
Azerbaijan,AZE,Schooling
"Bahamas, The",BHS,Schooling
Bahrain,BHR,Schooling
Bangladesh,BGD,Schooling
Barbados,BRB,Schooling
Belarus,BLR,Schooling
Belgium,BEL,Schooling
Belize,BLZ,Schooling
Benin,BEN,Schooling
Bermuda,BMU,Schooling
Bhutan,BTN,Schooling
Bolivia,BOL,Schooling
Bosnia and Herzegovina,BIH,Schooling
Botswana,BWA,Schooling
Brazil,BRA,Schooling
British Virgin Islands,VGB,Schooling
Brunei Darussalam,BRN,Schooling
Bulgaria,BGR,Schooling
Burkina Faso,BFA,Schooling
Burundi,BDI,Schooling
Cabo Verde,CPV,Schooling
Cambodia,KHM,Schooling
Cameroon,CMR,Schooling
Caribbean small states,CSS,Schooling
Cayman Islands,CYM,Schooling
Central African Republic,CAF,Schooling
Central Europe and the Baltics,CEB,Schooling
Chad,TCD,Schooling
Channel Islands,CHI,Schooling
Chile,CHL,Schooling
China,CHN,Schooling
Colombia,COL,Schooling
Comoros,COM,Schooling
"Congo, Dem. Rep.",COD,Schooling
"Congo, Rep.",COG,Schooling
Costa Rica,CRI,Schooling
Cote d'Ivoire,CIV,Schooling
Croatia,HRV,Schooling
Cuba,CUB,Schooling
Curacao,CUW,Schooling
Cyprus,CYP,Schooling
Czechia,CZE,Schooling
Denmark,DNK,Schooling
Djibouti,DJI,Schooling
Dominica,DMA,Schooling
Dominican Republic,DOM,Schooling
Early-demographic dividend,EAR,Schooling
East Asia & Pacific,EAS,Schooling
East Asia & Pacific (excluding high income),EAP,Schooling
East Asia & Pacific (IDA & IBRD countries),TEA,Schooling
Ecuador,ECU,Schooling
"Egypt, Arab Rep.",EGY,Schooling
El Salvador,SLV,Schooling
Equatorial Guinea,GNQ,Schooling
Eritrea,ERI,Schooling
Estonia,EST,Schooling
Eswatini,SWZ,Schooling
Ethiopia,ETH,Schooling
Euro area,EMU,Schooling
Europe & Central Asia,ECS,Schooling
Europe & Central Asia (excluding high income),ECA,Schooling
Europe & Central Asia (IDA & IBRD countries),TEC,Schooling
European Union,EUU,Schooling
Faroe Islands,FRO,Schooling
Fiji,FJI,Schooling
Finland,FIN,Schooling
Fragile and conflict affected situations,FCS,Schooling
France,FRA,Schooling
French Polynesia,PYF,Schooling
Gabon,GAB,Schooling
"Gambia, The",GMB,Schooling
Georgia,GEO,Schooling
Germany,DEU,Schooling
Ghana,GHA,Schooling
Gibraltar,GIB,Schooling
Greece,GRC,Schooling
Greenland,GRL,Schooling
Grenada,GRD,Schooling
Guam,GUM,Schooling
Guatemala,GTM,Schooling
Guinea,GIN,Schooling
Guinea-Bissau,GNB,Schooling
Guyana,GUY,Schooling
Haiti,HTI,Schooling
Heavily indebted poor countries (HIPC),HPC,Schooling
High income,HIC,Schooling
Honduras,HND,Schooling
"Hong Kong SAR, China",HKG,Schooling
Hungary,HUN,Schooling
IBRD only,IBD,Schooling
Iceland,ISL,Schooling
IDA & IBRD total,IBT,Schooling
IDA blend,IDB,Schooling
IDA only,IDX,Schooling
IDA total,IDA,Schooling
India,IND,Schooling
Indonesia,IDN,Schooling
"Iran, Islamic Rep.",IRN,Schooling
Iraq,IRQ,Schooling
Ireland,IRL,Schooling
Isle of Man,IMN,Schooling
Israel,ISR,Schooling
Italy,ITA,Schooling
Jamaica,JAM,Schooling
Japan,JPN,Schooling
Jordan,JOR,Schooling
Kazakhstan,KAZ,Schooling
Kenya,KEN,Schooling
Kiribati,KIR,Schooling
"Korea, Dem. People's Rep.",PRK,Schooling
"Korea, Rep.",KOR,Schooling
Kosovo,XKX,Schooling
Kuwait,KWT,Schooling
Kyrgyz Republic,KGZ,Schooling
Lao PDR,LAO,Schooling
Late-demographic dividend,LTE,Schooling
Latin America & Caribbean,LCN,Schooling
Latin America & Caribbean (excluding high income),LAC,Schooling
Latin America & the Caribbean (IDA & IBRD countries),TLA,Schooling
Latvia,LVA,Schooling
Least developed countries: UN classification,LDC,Schooling
Lebanon,LBN,Schooling
Lesotho,LSO,Schooling
Liberia,LBR,Schooling
Libya,LBY,Schooling
Liechtenstein,LIE,Schooling
Lithuania,LTU,Schooling
Low & middle income,LMY,Schooling
Low income,LIC,Schooling
Lower middle income,LMC,Schooling
Luxembourg,LUX,Schooling
"Macao SAR, China",MAC,Schooling
Madagascar,MDG,Schooling
Malawi,MWI,Schooling
Malaysia,MYS,Schooling
Maldives,MDV,Schooling
Mali,MLI,Schooling
Malta,MLT,Schooling
Marshall Islands,MHL,Schooling
Mauritania,MRT,Schooling
Mauritius,MUS,Schooling
Mexico,MEX,Schooling
"Micronesia, Fed. Sts.",FSM,Schooling
Middle East & North Africa,MEA,Schooling
Middle East & North Africa (excluding high income),MNA,Schooling
Middle East & North Africa (IDA & IBRD countries),TMN,Schooling
Middle income,MIC,Schooling
Moldova,MDA,Schooling
Monaco,MCO,Schooling
Mongolia,MNG,Schooling
Montenegro,MNE,Schooling
Morocco,MAR,Schooling
Mozambique,MOZ,Schooling
Myanmar,MMR,Schooling
Namibia,NAM,Schooling
Nauru,NRU,Schooling
Nepal,NPL,Schooling
Netherlands,NLD,Schooling
New Caledonia,NCL,Schooling
New Zealand,NZL,Schooling
Nicaragua,NIC,Schooling
Niger,NER,Schooling
Nigeria,NGA,Schooling
North America,NAC,Schooling
North Macedonia,MKD,Schooling
Northern Mariana Islands,MNP,Schooling
Norway,NOR,Schooling
OECD members,OED,Schooling
Oman,OMN,Schooling
Other small states,OSS,Schooling
Pacific island small states,PSS,Schooling
Pakistan,PAK,Schooling
Palau,PLW,Schooling
Panama,PAN,Schooling
Papua New Guinea,PNG,Schooling
Paraguay,PRY,Schooling
Peru,PER,Schooling
Philippines,PHL,Schooling
Poland,POL,Schooling
Portugal,PRT,Schooling
Post-demographic dividend,PST,Schooling
Pre-demographic dividend,PRE,Schooling
Puerto Rico,PRI,Schooling
Qatar,QAT,Schooling
Romania,ROU,Schooling
Russian Federation,RUS,Schooling
Rwanda,RWA,Schooling
Samoa,WSM,Schooling
San Marino,SMR,Schooling
Sao Tome and Principe,STP,Schooling
Saudi Arabia,SAU,Schooling
Senegal,SEN,Schooling
Serbia,SRB,Schooling
Seychelles,SYC,Schooling
Sierra Leone,SLE,Schooling
Singapore,SGP,Schooling
Sint Maarten (Dutch part),SXM,Schooling
Slovak Republic,SVK,Schooling
Slovenia,SVN,Schooling
Small states,SST,Schooling
Solomon Islands,SLB,Schooling
Somalia,SOM,Schooling
South Africa,ZAF,Schooling
South Asia,SAS,Schooling
South Asia (IDA & IBRD),TSA,Schooling
South Sudan,SSD,Schooling
Spain,ESP,Schooling
Sri Lanka,LKA,Schooling
St. Kitts and Nevis,KNA,Schooling
St. Lucia,LCA,Schooling
St. Martin (French part),MAF,Schooling
St. Vincent and the Grenadines,VCT,Schooling
Sub-Saharan Africa,SSF,Schooling
Sub-Saharan Africa (excluding high income),SSA,Schooling
Sub-Saharan Africa (IDA & IBRD countries),TSS,Schooling
Sudan,SDN,Schooling
Suriname,SUR,Schooling
Sweden,SWE,Schooling
Switzerland,CHE,Schooling
Syrian Arab Republic,SYR,Schooling
Tajikistan,TJK,Schooling
Tanzania,TZA,Schooling
Thailand,THA,Schooling
Timor-Leste,TLS,Schooling
Togo,TGO,Schooling
Tonga,TON,Schooling
Trinidad and Tobago,TTO,Schooling
Tunisia,TUN,Schooling
Turkiye,TUR,Schooling
Turkmenistan,TKM,Schooling
Turks and Caicos Islands,TCA,Schooling
Tuvalu,TUV,Schooling
Uganda,UGA,Schooling
Ukraine,UKR,Schooling
United Arab Emirates,ARE,Schooling
United Kingdom,GBR,Schooling
United States,USA,Schooling
Upper middle income,UMC,Schooling
Uruguay,URY,Schooling
Uzbekistan,UZB,Schooling
Vanuatu,VUT,Schooling
"Venezuela, RB",VEN,Schooling
Viet Nam,VNM,Schooling
Virgin Islands (U.S.),VIR,Schooling
West Bank and Gaza,PSE,Schooling
World,WLD,Schooling
"Yemen, Rep.",YEM,Schooling
Zambia,ZMB,Schooling
Zimbabwe,ZWE,Schooling
NA,NA,Schooling
NA,NA,Schooling
NA,NA,Schooling
Data from database: Education Statistics: Education Attainment,NA,Schooling
Last Updated: 06/25/2024,NA,Schooling
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
Africa Eastern and Southern,AFE,Obesity
