"country","code","indicator","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Europe & Central Asia","ECS","Prevalence of overweight (% of adults)",46.31,46.633,46.98,47.348,47.736,48.143,48.567,49.003,49.446,49.898,50.348,50.791,51.219,51.625,52.006,52.353,52.677,52.967,53.222,53.45,53.661,53.861,54.06,54.261,54.467,54.664,54.853,55.04,55.215,55.39,55.571,NA,NA
"Europe & Central Asia (excluding high income)","ECA","Prevalence of overweight (% of adults)",45.813,46.249,46.708,47.191,47.691,48.22,48.768,49.33,49.893,50.461,51.03,51.596,52.155,52.699,53.225,53.722,54.244,54.758,55.271,55.779,56.278,56.78,57.284,57.794,58.308,58.803,59.291,59.768,60.235,60.708,61.253,NA,NA
"Europe & Central Asia (IDA & IBRD)","TEC","Prevalence of overweight (% of adults)",46.112,46.335,46.594,46.891,47.22,47.59,48.005,48.457,48.944,49.472,50.022,50.588,51.164,51.74,52.309,52.861,53.423,53.977,54.515,55.045,55.566,56.081,56.597,57.112,57.633,58.139,58.639,59.132,59.613,60.099,60.619,NA,NA
"European Union","EUU","Prevalence of overweight (% of adults)",46.069,46.362,46.674,47.003,47.347,47.707,48.075,48.449,48.82,49.198,49.568,49.922,50.25,50.548,50.812,51.038,51.215,51.339,51.409,51.432,51.439,51.43,51.416,51.405,51.396,51.381,51.357,51.328,51.288,51.24,51.215,NA,NA
"Fragile and conflict affected situations","FCS","Prevalence of overweight (% of adults)",21.649,22.037,22.388,22.744,23.195,23.692,24.186,24.698,25.234,25.776,26.319,26.864,27.406,27.94,28.461,28.982,29.466,29.907,30.325,30.693,31.034,31.347,31.646,31.97,32.328,32.695,33.077,33.493,33.938,34.403,34.815,NA,NA
"Heavily indebted poor countries (HIPC)","HPC","Prevalence of overweight (% of adults)",11.168,11.595,12.048,12.517,13.006,13.527,14.074,14.639,15.224,15.824,16.437,17.059,17.677,18.294,18.906,19.502,20.083,20.651,21.192,21.721,22.244,22.765,23.305,23.861,24.426,25.007,25.608,26.219,26.846,27.48,28.125,NA,NA
"High income","HIC","Prevalence of overweight (% of adults)",44.215,44.695,45.193,45.702,46.225,46.76,47.303,47.851,48.395,48.934,49.462,49.978,50.481,50.962,51.417,51.849,52.249,52.616,52.919,53.209,53.485,53.759,54.028,54.31,54.594,54.86,55.102,55.348,55.607,55.838,56.125,NA,NA
"IBRD only","IBD","Prevalence of overweight (% of adults)",21.718,22.234,22.757,23.296,23.846,24.408,24.989,25.578,26.174,26.783,27.401,28.033,28.679,29.331,30.006,30.681,31.381,32.106,32.842,33.578,34.337,35.128,35.943,36.772,37.609,38.44,39.282,40.12,40.959,41.811,42.667,NA,NA
"IDA & IBRD total","IBT","Prevalence of overweight (% of adults)",20.173,20.675,21.186,21.713,22.255,22.813,23.39,23.979,24.579,25.193,25.819,26.461,27.118,27.782,28.468,29.158,29.862,30.581,31.308,32.032,32.77,33.529,34.307,35.105,35.913,36.721,37.541,38.36,39.18,40.01,40.842,NA,NA
"IDA blend","IDB","Prevalence of overweight (% of adults)",16.765,17.462,18.18,18.926,19.704,20.52,21.367,22.26,23.173,24.106,25.062,26.041,27.023,28.009,28.992,29.971,30.94,31.898,32.846,33.788,34.726,35.671,36.629,37.607,38.594,39.581,40.576,41.57,42.564,43.564,44.549,NA,NA
"IDA only","IDX","Prevalence of overweight (% of adults)",10.673,11.058,11.466,11.893,12.337,12.806,13.303,13.821,14.362,14.928,15.521,16.135,16.761,17.404,18.086,18.805,19.475,20.111,20.755,21.391,22.001,22.55,23.113,23.744,24.437,25.165,25.926,26.715,27.504,28.29,29.09,NA,NA
"IDA total","IDA","Prevalence of overweight (% of adults)",12.756,13.245,13.759,14.297,14.861,15.456,16.078,16.727,17.403,18.105,18.829,19.574,20.332,21.102,21.894,22.713,23.499,24.261,25.023,25.771,26.495,27.183,27.88,28.622,29.401,30.204,31.036,31.884,32.735,33.591,34.447,NA,NA
"Late-demographic dividend","LTE","Prevalence of overweight (% of adults)",22.457,22.979,23.51,24.059,24.617,25.178,25.752,26.33,26.907,27.497,28.104,28.715,29.345,29.986,30.667,31.37,32.092,32.842,33.602,34.371,35.168,36.008,36.868,37.747,38.633,39.504,40.377,41.247,42.117,42.985,43.884,NA,NA
"Latin America & Caribbean","LCN","Prevalence of overweight (% of adults)",41.059,41.956,42.845,43.731,44.61,45.479,46.336,47.181,48.008,48.806,49.593,50.364,51.138,51.912,52.686,53.472,54.267,55.076,55.904,56.739,57.569,58.391,59.198,59.99,60.765,61.53,62.288,63.043,63.792,64.53,65.266,NA,NA
"Latin America & Caribbean (excluding high income)","LAC","Prevalence of overweight (% of adults)",40.277,41.157,42.031,42.901,43.767,44.624,45.471,46.31,47.134,47.931,48.723,49.503,50.291,51.083,51.88,52.695,53.523,54.37,55.24,56.122,57.003,57.877,58.738,59.587,60.419,61.235,62.038,62.83,63.621,64.408,65.197,NA,NA
"Latin America & Caribbean (IDA & IBRD)","TLA","Prevalence of overweight (% of adults)",41.319,42.215,43.101,43.981,44.854,45.715,46.563,47.399,48.217,49.005,49.783,50.546,51.314,52.081,52.85,53.631,54.423,55.229,56.055,56.889,57.718,58.539,59.344,60.136,60.909,61.673,62.431,63.184,63.93,64.666,65.401,NA,NA
"Least developed countries: UN classification","LDC","Prevalence of overweight (% of adults)",8.578,8.925,9.294,9.676,10.068,10.485,10.935,11.409,11.906,12.425,12.973,13.546,14.128,14.728,15.342,15.961,16.584,17.214,17.844,18.48,19.129,19.792,20.48,21.189,21.914,22.655,23.41,24.171,24.946,25.725,26.51,NA,NA
"Low & middle income","LMY","Prevalence of overweight (% of adults)",18.292,18.856,19.422,20.002,20.595,21.2,21.822,22.455,23.098,23.752,24.415,25.092,25.783,26.482,27.204,27.932,28.675,29.434,30.203,30.971,31.754,32.56,33.386,34.234,35.093,35.953,36.827,37.699,38.573,39.457,40.339,NA,NA
"Low income","LIC","Prevalence of overweight (% of adults)",12.715,13.155,13.622,14.098,14.591,15.116,15.661,16.214,16.79,17.376,17.981,18.599,19.226,19.864,20.573,21.348,22.007,22.58,23.166,23.73,24.222,24.573,24.928,25.411,26.011,26.672,27.391,28.165,28.937,29.693,30.481,NA,NA
"Lower middle income","LMC","Prevalence of overweight (% of adults)",11.864,12.366,12.882,13.419,13.977,14.56,15.174,15.813,16.475,17.164,17.865,18.597,19.339,20.09,20.86,21.64,22.427,23.224,24.03,24.839,25.667,26.517,27.401,28.296,29.205,30.123,31.059,31.993,32.935,33.899,34.861,NA,NA
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Prevalence of overweight (% of adults)",35.748,36.498,37.26,38.061,38.879,39.721,40.582,41.465,42.358,43.255,44.135,45.005,45.867,46.709,47.548,48.391,49.202,49.993,50.726,51.528,52.357,53.223,54.083,54.983,55.897,56.747,57.557,58.37,59.197,59.976,60.834,NA,NA
"Middle East & North Africa (excluding high income)","MNA","Prevalence of overweight (% of adults)",34.326,35.067,35.825,36.627,37.443,38.282,39.141,40.022,40.911,41.803,42.672,43.532,44.389,45.226,46.047,46.856,47.632,48.407,49.195,50.006,50.84,51.706,52.592,53.501,54.445,55.37,56.286,57.191,58.079,58.969,59.867,NA,NA
"Middle East & North Africa (IDA & IBRD)","TMN","Prevalence of overweight (% of adults)",34.213,34.952,35.708,36.509,37.323,38.16,39.02,39.902,40.793,41.686,42.557,43.418,44.278,45.116,45.939,46.749,47.527,48.303,49.093,49.906,50.743,51.611,52.5,53.412,54.36,55.289,56.21,57.119,58.012,58.907,59.81,NA,NA
"Middle income","MIC","Prevalence of overweight (% of adults)",18.595,19.167,19.741,20.329,20.928,21.539,22.166,22.805,23.454,24.113,24.783,25.467,26.165,26.872,27.599,28.329,29.081,29.856,30.642,31.428,32.235,33.074,33.935,34.812,35.697,36.58,37.476,38.368,39.263,40.169,41.072,NA,NA
"North America","NAC","Prevalence of overweight (% of adults)",52.55,53.532,54.52,55.479,56.436,57.381,58.312,59.214,60.083,60.92,61.714,62.477,63.201,63.892,64.535,65.146,65.707,66.219,66.672,67.085,67.459,67.829,68.193,68.557,68.928,69.297,69.65,69.992,70.33,70.671,70.992,NA,NA
"OECD members","OED","Prevalence of overweight (% of adults)",44.36,44.987,45.624,46.263,46.904,47.546,48.18,48.806,49.413,49.997,50.555,51.088,51.6,52.085,52.532,52.946,53.333,53.691,54.01,54.304,54.58,54.85,55.12,55.392,55.668,55.942,56.206,56.466,56.724,56.976,57.247,NA,NA
"Other small states","OSS","Prevalence of overweight (% of adults)",33.292,33.775,34.225,34.717,35.199,35.684,36.185,37.102,37.985,38.421,38.856,39.379,39.971,40.541,41.08,41.591,42.074,42.518,42.934,43.33,43.727,44.128,44.548,44.99,45.437,45.9,46.386,46.879,47.359,47.833,48.373,NA,NA
"Pacific island small states","PSS","Prevalence of overweight (% of adults)",54.571,54.986,55.37,55.738,56.094,56.438,56.773,57.093,57.412,57.739,58.086,58.446,58.814,59.18,59.542,59.917,60.31,60.704,61.068,61.417,61.777,62.151,62.527,62.898,63.276,63.656,64.042,64.435,64.83,65.211,65.586,NA,NA
"Post-demographic dividend","PST","Prevalence of overweight (% of adults)",43.437,43.959,44.495,45.035,45.583,46.138,46.688,47.236,47.768,48.28,48.771,49.242,49.693,50.117,50.502,50.856,51.172,51.455,51.691,51.894,52.08,52.263,52.449,52.642,52.845,53.05,53.244,53.435,53.631,53.825,54.04,NA,NA
"Pre-demographic dividend","PRE","Prevalence of overweight (% of adults)",13.158,13.712,14.269,14.824,15.44,16.091,16.759,17.45,18.161,18.883,19.617,20.357,21.09,21.815,22.485,23.111,23.764,24.42,25.04,25.635,26.239,26.842,27.438,28.042,28.65,29.27,29.906,30.551,31.212,31.885,32.57,NA,NA
"Small states","SST","Prevalence of overweight (% of adults)",37.786,38.384,38.957,39.559,40.137,40.713,41.298,42.167,43.004,43.521,44.033,44.608,45.224,45.782,46.335,46.861,47.358,47.82,48.259,48.684,49.101,49.516,49.941,50.376,50.816,51.261,51.71,52.161,52.609,53.051,53.529,NA,NA
"South Asia","SAS","Prevalence of overweight (% of adults)",6.751,7.164,7.588,8.032,8.498,8.992,9.527,10.082,10.668,11.286,11.919,12.593,13.281,13.983,14.718,15.476,16.256,17.059,17.885,18.715,19.577,20.456,21.378,22.331,23.314,24.309,25.323,26.329,27.346,28.38,29.413,NA,NA
"South Asia (IDA & IBRD)","TSA","Prevalence of overweight (% of adults)",6.751,7.164,7.588,8.032,8.498,8.992,9.527,10.082,10.668,11.286,11.919,12.593,13.281,13.983,14.718,15.476,16.256,17.059,17.885,18.715,19.577,20.456,21.378,22.331,23.314,24.309,25.323,26.329,27.346,28.38,29.413,NA,NA
"Sub-Saharan Africa","SSF","Prevalence of overweight (% of adults)",13.908,14.411,14.902,15.371,15.881,16.428,17.009,17.607,18.221,18.854,19.502,20.156,20.798,21.424,22.028,22.607,23.153,23.664,24.141,24.584,25.015,25.442,25.878,26.338,26.785,27.247,27.751,28.264,28.796,29.342,29.903,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA","Prevalence of overweight (% of adults)",14.934,15.479,16.013,16.522,17.077,17.669,18.294,18.936,19.592,20.267,20.959,21.658,22.346,23.019,23.667,24.291,24.882,25.433,25.952,26.435,26.904,27.368,27.84,28.337,28.82,29.316,29.852,30.397,30.959,31.536,32.126,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS","Prevalence of overweight (% of adults)",13.908,14.411,14.902,15.371,15.881,16.428,17.009,17.607,18.221,18.854,19.502,20.156,20.798,21.424,22.028,22.607,23.153,23.664,24.141,24.584,25.015,25.442,25.878,26.338,26.785,27.247,27.751,28.264,28.796,29.342,29.903,NA,NA
"Upper middle income","UMC","Prevalence of overweight (% of adults)",23.35,24,24.65,25.313,25.984,26.655,27.332,28.012,28.69,29.368,30.056,30.742,31.443,32.146,32.874,33.607,34.37,35.171,35.997,36.822,37.667,38.551,39.452,40.372,41.295,42.207,43.127,44.039,44.955,45.87,46.784,NA,NA
"World","WLD","Prevalence of overweight (% of adults)",27.5,27.9,28.3,28.6,29.1,29.5,29.9,30.3,30.8,31.2,31.7,32.1,32.6,33.1,33.6,34.1,34.6,35.2,35.7,36.2,36.7,37.3,37.8,38.4,38.9,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG","Prevalence of overweight (% of adults)",11.37,12.04,12.74,13.48,14.27,15.09,15.97,16.89,17.85,18.86,19.91,21.01,22.15,23.33,24.55,25.81,27.1,28.44,29.8,31.21,32.66,34.15,35.69,37.27,38.89,40.52,42.15,43.77,45.38,46.98,48.57,NA,NA
"Albania","ALB","Prevalence of overweight (% of adults)",50.29,50.52,50.75,50.99,51.24,51.52,51.84,52.18,52.56,52.97,53.41,53.87,54.34,54.81,55.3,55.78,56.25,56.71,57.16,57.6,58.02,58.44,58.85,59.27,59.7,60.11,60.52,60.93,61.33,61.74,62.16,NA,NA
"Algeria","DZA","Prevalence of overweight (% of adults)",37.02,37.59,38.18,38.79,39.4,40.02,40.67,41.36,42.06,42.76,43.46,44.17,44.87,45.57,46.26,46.95,47.64,48.34,49.05,49.77,50.49,51.23,51.97,52.71,53.46,54.19,54.89,55.58,56.26,56.94,57.62,NA,NA
"American Samoa","ASM","Prevalence of overweight (% of adults)",88.59,88.89,89.15,89.37,89.56,89.73,89.88,90.01,90.13,90.22,90.31,90.39,90.46,90.53,90.6,90.67,90.73,90.78,90.85,90.9,90.95,91,91.05,91.09,91.14,91.2,91.25,91.28,91.33,91.37,91.41,NA,NA
"Andorra","AND","Prevalence of overweight (% of adults)",43.92,44.17,44.43,44.72,45.02,45.34,45.66,45.99,46.31,46.65,47,47.33,47.64,47.91,48.11,48.23,48.3,48.32,48.3,48.26,48.24,48.2,48.15,48.12,48.11,48.12,48.13,48.13,48.14,48.16,48.17,NA,NA
"Angola","AGO","Prevalence of overweight (% of adults)",15,15.57,16.15,16.74,17.35,17.97,18.6,19.26,19.92,20.59,21.26,21.93,22.58,23.22,23.84,24.43,25,25.53,26.03,26.5,26.96,27.4,27.85,28.31,28.77,29.25,29.73,30.22,30.73,31.25,31.78,NA,NA
"Antigua and Barbuda","ATG","Prevalence of overweight (% of adults)",39.16,40.09,41.03,41.99,42.97,43.97,44.98,45.99,46.98,47.95,48.89,49.8,50.68,51.53,52.35,53.15,53.92,54.67,55.38,56.07,56.73,57.37,57.99,58.6,59.2,59.8,60.38,60.96,61.53,62.1,62.67,NA,NA
"Argentina","ARG","Prevalence of overweight (% of adults)",45.1,45.93,46.75,47.58,48.4,49.22,50.02,50.82,51.6,52.35,53.09,53.81,54.54,55.26,55.97,56.7,57.43,58.17,58.93,59.7,60.49,61.28,62.07,62.87,63.67,64.47,65.26,66.05,66.84,67.63,68.42,NA,NA
"Armenia","ARM","Prevalence of overweight (% of adults)",39.45,40.02,40.59,41.15,41.72,42.29,42.86,43.44,44.02,44.6,45.18,45.76,46.34,46.91,47.48,48.05,48.61,49.16,49.7,50.23,50.75,51.26,51.75,52.24,52.71,53.17,53.62,54.07,54.52,54.97,55.43,NA,NA
"Australia","AUS","Prevalence of overweight (% of adults)",48.09,49.14,50.16,51.14,52.07,52.96,53.8,54.59,55.34,56.06,56.72,57.33,57.9,58.42,58.89,59.33,59.72,60.07,60.38,60.66,60.92,61.19,61.46,61.75,62.06,62.38,62.69,63,63.32,63.64,63.96,NA,NA
"Austria","AUT","Prevalence of overweight (% of adults)",40.4,40.7,41.02,41.33,41.65,41.96,42.27,42.58,42.88,43.16,43.43,43.67,43.9,44.1,44.27,44.4,44.49,44.54,44.56,44.56,44.55,44.54,44.55,44.59,44.65,44.7,44.75,44.8,44.85,44.92,44.99,NA,NA
"Azerbaijan","AZE","Prevalence of overweight (% of adults)",42.74,43.46,44.17,44.88,45.59,46.31,47.03,47.78,48.54,49.29,50.04,50.78,51.51,52.21,52.9,53.58,54.24,54.88,55.52,56.13,56.72,57.28,57.82,58.34,58.85,59.34,59.82,60.28,60.75,61.22,61.68,NA,NA
"Bahamas, The","BHS","Prevalence of overweight (% of adults)",48.41,49.62,50.85,52.1,53.36,54.62,55.87,57.13,58.36,59.56,60.72,61.84,62.91,63.95,64.94,65.88,66.78,67.64,68.46,69.23,69.96,70.64,71.3,71.93,72.53,73.12,73.68,74.23,74.76,75.28,75.79,NA,NA
"Bahrain","BHR","Prevalence of overweight (% of adults)",49.09,50.05,51.02,51.99,52.95,53.91,54.86,55.79,56.71,57.59,58.45,59.24,59.97,60.65,61.3,61.91,62.51,63.08,63.62,64.14,64.64,65.12,65.59,66.05,66.49,66.9,67.29,67.65,68.01,68.35,68.69,NA,NA
"Bangladesh","BGD","Prevalence of overweight (% of adults)",4.02,4.27,4.54,4.83,5.15,5.49,5.87,6.28,6.73,7.22,7.75,8.33,8.95,9.62,10.34,11.11,11.92,12.78,13.69,14.63,15.62,16.65,17.71,18.81,19.94,21.09,22.26,23.44,24.63,25.82,27.02,NA,NA
"Barbados","BRB","Prevalence of overweight (% of adults)",49.02,49.68,50.35,51.03,51.73,52.45,53.18,53.93,54.67,55.41,56.13,56.85,57.55,58.22,58.88,59.53,60.15,60.75,61.33,61.88,62.41,62.92,63.42,63.92,64.4,64.88,65.35,65.81,66.26,66.71,67.16,NA,NA
"Belarus","BLR","Prevalence of overweight (% of adults)",48.4,48.43,48.5,48.6,48.74,48.93,49.16,49.42,49.72,50.04,50.39,50.76,51.12,51.49,51.84,52.18,52.5,52.8,53.07,53.32,53.55,53.77,53.98,54.18,54.38,54.57,54.74,54.91,55.08,55.25,55.42,NA,NA
"Belgium","BEL","Prevalence of overweight (% of adults)",46.62,46.88,47.16,47.45,47.75,48.07,48.38,48.7,49,49.29,49.57,49.83,50.08,50.31,50.51,50.67,50.8,50.89,50.94,50.96,50.96,50.96,50.95,50.96,50.97,50.98,51,51.01,51.02,51.05,51.08,NA,NA
"Belize","BLZ","Prevalence of overweight (% of adults)",47.61,48.73,49.86,50.99,52.12,53.25,54.38,55.5,56.61,57.69,58.74,59.76,60.73,61.66,62.55,63.4,64.21,64.99,65.72,66.41,67.07,67.7,68.3,68.9,69.49,70.06,70.61,71.16,71.7,72.24,72.78,NA,NA
"Benin","BEN","Prevalence of overweight (% of adults)",10.8,11.41,12.06,12.74,13.46,14.21,15.01,15.85,16.71,17.59,18.48,19.36,20.23,21.08,21.88,22.63,23.32,23.95,24.5,25,25.44,25.86,26.27,26.7,27.13,27.58,28.04,28.53,29.03,29.54,30.08,NA,NA
"Bermuda","BMU","Prevalence of overweight (% of adults)",38.99,39.91,40.84,41.79,42.76,43.74,44.73,45.73,46.71,47.67,48.6,49.51,50.38,51.24,52.07,52.88,53.65,54.4,55.11,55.81,56.47,57.1,57.72,58.33,58.94,59.55,60.15,60.74,61.33,61.93,62.5,NA,NA
"Bhutan","BTN","Prevalence of overweight (% of adults)",14.26,15,15.78,16.59,17.43,18.3,19.2,20.13,21.07,22.03,23.01,24.01,25.02,26.06,27.14,28.24,29.35,30.48,31.62,32.78,33.96,35.16,36.39,37.65,38.94,40.24,41.54,42.84,44.12,45.41,46.68,NA,NA
"Bolivia","BOL","Prevalence of overweight (% of adults)",36.43,37.26,38.12,38.99,39.9,40.82,41.75,42.7,43.65,44.6,45.56,46.52,47.47,48.43,49.4,50.38,51.37,52.38,53.39,54.4,55.41,56.41,57.4,58.38,59.36,60.33,61.3,62.26,63.22,64.19,65.14,NA,NA
"Bosnia and Herzegovina","BIH","Prevalence of overweight (% of adults)",47.55,47.72,47.9,48.09,48.29,48.51,48.77,49.06,49.38,49.73,50.09,50.47,50.85,51.23,51.61,51.98,52.33,52.67,53,53.31,53.62,53.93,54.24,54.57,54.9,55.22,55.55,55.87,56.19,56.52,56.86,NA,NA
"Botswana","BWA","Prevalence of overweight (% of adults)",22.09,22.88,23.69,24.51,25.34,26.19,27.04,27.91,28.78,29.64,30.5,31.35,32.17,32.97,33.71,34.41,35.06,35.65,36.21,36.72,37.21,37.68,38.15,38.61,39.07,39.54,40.01,40.48,40.97,41.48,41.99,NA,NA
"Brazil","BRA","Prevalence of overweight (% of adults)",36.61,37.29,37.97,38.66,39.36,40.06,40.77,41.49,42.21,42.92,43.65,44.39,45.17,45.97,46.8,47.67,48.56,49.5,50.48,51.5,52.54,53.6,54.66,55.73,56.79,57.84,58.88,59.91,60.94,61.97,63,NA,NA
"Brunei Darussalam","BRN","Prevalence of overweight (% of adults)",29.43,30.58,31.77,32.99,34.25,35.54,36.86,38.22,39.6,41.01,42.44,43.89,45.35,46.82,48.3,49.77,51.23,52.66,54.07,55.46,56.83,58.2,59.57,60.93,62.26,63.57,64.85,66.09,67.3,68.48,69.63,NA,NA
"Bulgaria","BGR","Prevalence of overweight (% of adults)",44.09,44.25,44.42,44.6,44.8,45.02,45.28,45.56,45.88,46.23,46.59,46.97,47.36,47.74,48.11,48.47,48.81,49.13,49.43,49.7,49.95,50.18,50.4,50.62,50.83,51.03,51.22,51.39,51.57,51.76,51.95,NA,NA
"Burkina Faso","BFA","Prevalence of overweight (% of adults)",5.09,5.36,5.64,5.94,6.27,6.63,7.02,7.45,7.91,8.4,8.92,9.48,10.05,10.65,11.25,11.86,12.46,13.06,13.65,14.23,14.8,15.38,15.99,16.61,17.26,17.93,18.64,19.37,20.12,20.9,21.7,NA,NA
"Burundi","BDI","Prevalence of overweight (% of adults)",7,7.19,7.4,7.64,7.87,8.11,8.37,8.65,8.93,9.23,9.53,9.85,10.17,10.49,10.8,11.11,11.41,11.72,12.01,12.3,12.6,12.9,13.22,13.53,13.87,14.22,14.6,15,15.42,15.85,16.31,NA,NA
"Cabo Verde","CPV","Prevalence of overweight (% of adults)",18.74,19.61,20.51,21.44,22.42,23.43,24.49,25.59,26.7,27.81,28.93,30.05,31.15,32.22,33.26,34.26,35.19,36.07,36.92,37.73,38.5,39.26,40.02,40.8,41.6,42.42,43.24,44.09,44.95,45.81,46.69,NA,NA
"Cambodia","KHM","Prevalence of overweight (% of adults)",6.11,6.37,6.65,6.95,7.26,7.59,7.94,8.31,8.7,9.11,9.55,10.02,10.52,11.04,11.6,12.19,12.81,13.46,14.15,14.88,15.65,16.47,17.33,18.22,19.15,20.09,21.06,22.05,23.05,24.08,25.14,NA,NA
"Cameroon","CMR","Prevalence of overweight (% of adults)",17.02,17.85,18.72,19.62,20.57,21.55,22.58,23.65,24.74,25.85,26.95,28.05,29.11,30.12,31.07,31.95,32.75,33.46,34.08,34.62,35.09,35.52,35.94,36.35,36.77,37.19,37.62,38.07,38.53,39,39.47,NA,NA
"Canada","CAN","Prevalence of overweight (% of adults)",49.19,50.01,50.81,51.58,52.33,53.05,53.72,54.36,54.95,55.51,56.01,56.46,56.87,57.23,57.56,57.84,58.08,58.28,58.43,58.54,58.63,58.69,58.76,58.81,58.87,58.93,58.97,59.01,59.06,59.1,59.15,NA,NA
"Central African Republic","CAF","Prevalence of overweight (% of adults)",8.51,8.87,9.25,9.64,10.06,10.5,10.95,11.43,11.93,12.45,12.98,13.52,14.06,14.61,15.15,15.68,16.2,16.71,17.2,17.68,18.16,18.64,19.14,19.65,20.17,20.7,21.26,21.83,22.42,23.04,23.67,NA,NA
"Chad","TCD","Prevalence of overweight (% of adults)",6.32,6.67,7.04,7.44,7.86,8.31,8.8,9.32,9.86,10.44,11.03,11.64,12.26,12.88,13.49,14.08,14.64,15.17,15.66,16.12,16.56,16.98,17.4,17.84,18.3,18.77,19.26,19.77,20.31,20.86,21.43,NA,NA
"Chile","CHL","Prevalence of overweight (% of adults)",48.12,49.35,50.56,51.78,52.98,54.17,55.34,56.49,57.61,58.69,59.74,60.77,61.78,62.77,63.76,64.73,65.71,66.68,67.67,68.65,69.64,70.62,71.59,72.55,73.49,74.42,75.32,76.21,77.08,77.94,78.79,NA,NA
"China","CHN","Prevalence of overweight (% of adults)",14.62,15.28,15.93,16.58,17.22,17.85,18.48,19.1,19.71,20.31,20.92,21.53,22.16,22.81,23.51,24.23,24.98,25.76,26.55,27.34,28.16,29.03,29.93,30.86,31.8,32.72,33.65,34.58,35.53,36.49,37.46,NA,NA
